id,date,student_id,subject_id,teacher_id
1,2020-09-07,44,52,38
2,2022-03-15,88,32,91
3,2020-04-02,7,22,100
4,2020-05-26,5,27,48
5,2022-06-10,19,14,43
6,2021-02-11,94,23,2
7,2021-07-26,93,60,95
8,2022-08-09,44,6,11
9,2022-05-19,53,37,50
10,2021-12-07,25,72,26
11,2020-06-10,50,30,60
12,2020-03-06,48,69,49
13,2022-05-03,92,19,89
14,2022-12-29,80,23,70
15,2022-03-07,57,30,64
16,2021-02-24,85,9,69
17,2020-07-17,78,63,56
18,2022-07-30,66,62,77
19,2021-09-07,80,34,74
20,2021-01-07,81,57,18
21,2021-06-16,85,57,42
22,2020-12-12,67,59,21
23,2022-11-20,19,51,24
24,2022-11-18,37,68,92
25,2022-12-06,81,55,61
26,2021-05-23,12,43,79
27,2022-03-01,57,10,47
28,2022-12-22,50,30,35
29,2021-07-20,95,57,25
30,2021-06-11,18,3,70
31,2020-05-11,90,57,21
32,2021-11-24,33,49,78
33,2021-09-11,59,36,27
34,2022-05-09,2,1,64
35,2021-03-05,36,38,77
36,2020-09-03,23,38,98
37,2020-08-03,10,2,33
38,2021-04-18,68,10,23
39,2021-11-05,99,43,23
40,2022-02-26,25,66,12
41,2020-12-19,81,14,76
42,2020-02-19,73,56,24
43,2020-09-09,24,60,27
44,2021-12-10,25,21,63
45,2022-01-02,90,14,51
46,2021-06-26,73,38,9
47,2021-10-03,5,35,91
48,2020-10-15,89,10,41
49,2022-10-28,64,8,13
50,2022-02-12,10,69,64
51,2020-02-06,25,62,66
52,2021-04-28,51,5,44
53,2021-07-09,41,63,36
54,2022-12-25,58,69,29
55,2020-12-13,90,70,53
56,2020-10-05,88,25,40
57,2020-02-12,70,69,18
58,2021-11-17,74,16,96
59,2022-12-11,36,40,55
60,2021-10-31,34,66,96
61,2021-01-16,1,12,32
62,2021-03-01,5,34,39
63,2021-10-09,3,7,38
64,2020-08-29,48,18,69
65,2021-12-01,64,14,40
66,2020-10-25,38,10,3
67,2021-08-11,75,11,87
68,2021-12-28,97,66,96
69,2022-12-06,10,5,41
70,2022-12-17,15,13,25
71,2020-11-02,30,61,66
72,2022-08-23,96,28,79
73,2022-09-22,35,68,2
74,2020-08-15,1,30,6
75,2021-08-17,94,29,80
76,2020-01-22,49,44,46
77,2020-01-04,53,48,55
78,2020-05-06,36,19,5
79,2020-05-31,18,34,61
80,2020-05-24,71,58,61
81,2020-05-23,92,64,19
82,2022-11-27,66,5,51
83,2021-05-03,92,6,20
84,2022-03-22,54,6,14
85,2022-11-03,59,68,35
86,2021-02-10,54,28,55
87,2021-03-29,91,45,71
88,2020-09-16,19,34,38
89,2022-07-22,45,10,16
90,2020-08-22,52,51,48
91,2021-05-31,23,17,51
92,2020-02-10,12,23,88
93,2022-01-24,16,14,55
94,2022-03-25,27,49,83
95,2021-02-23,81,65,75
96,2022-02-26,67,4,70
97,2020-05-29,75,15,71
98,2021-01-20,94,29,70
99,2022-12-08,34,65,84
100,2020-12-31,64,42,60
101,2022-07-20,16,18,85
102,2021-06-17,100,44,54
103,2020-05-22,70,67,33
104,2022-07-23,34,25,54
105,2022-04-05,80,29,22
106,2020-12-03,17,25,88
107,2021-02-16,12,51,2
108,2021-03-01,33,31,86
109,2020-01-14,67,20,67
110,2021-02-21,48,60,56
111,2021-10-08,82,45,78
112,2021-12-17,22,55,98
113,2020-10-09,7,46,13
114,2022-09-19,91,52,9
115,2021-02-07,28,31,20
116,2021-06-10,50,37,16
117,2022-09-11,99,22,2
118,2022-05-04,21,55,1
119,2020-11-11,32,59,78
120,2022-10-13,20,24,15
121,2022-10-24,21,70,10
122,2022-11-26,50,51,95
123,2020-12-24,54,43,91
124,2022-06-27,35,34,72
125,2022-01-15,70,16,61
126,2020-11-01,69,23,60
127,2021-02-03,50,52,30
128,2022-08-09,39,72,4
129,2020-01-31,34,14,5
130,2022-04-26,66,15,25
131,2020-09-20,38,59,54
132,2020-03-22,82,40,28
133,2020-07-22,42,64,28
134,2020-04-27,40,70,11
135,2020-11-10,25,1,9
136,2022-08-23,56,66,38
137,2020-07-19,83,2,3
138,2020-12-03,58,58,92
139,2020-09-02,73,36,43
140,2020-02-06,47,26,61
141,2020-05-08,11,69,47
142,2020-06-06,5,22,16
143,2020-11-01,39,48,1
144,2022-04-08,37,26,83
145,2021-08-30,17,52,25
146,2020-04-11,48,32,96
147,2021-09-06,55,56,23
148,2020-02-13,23,5,74
149,2021-12-05,3,7,63
150,2020-04-27,48,54,15
151,2022-07-08,44,12,55
152,2021-03-15,24,9,14
153,2021-02-03,78,21,17
154,2020-10-11,52,27,72
155,2022-12-12,37,72,72
156,2020-08-01,2,67,22
157,2022-01-09,80,3,28
158,2022-04-10,14,66,81
159,2022-06-19,93,31,84
160,2020-12-12,59,8,69
161,2022-08-24,34,72,27
162,2020-05-07,22,24,43
163,2022-10-07,70,41,25
164,2020-08-05,28,48,80
165,2021-12-18,22,13,81
166,2020-08-21,70,67,59
167,2021-06-26,9,51,57
168,2020-02-17,2,61,45
169,2020-04-12,1,28,12
170,2022-02-21,24,9,45
171,2021-11-26,52,26,37
172,2022-05-10,83,40,22
173,2022-08-08,11,43,46
174,2021-05-25,41,40,25
175,2020-07-12,60,21,82
176,2020-07-18,13,24,61
177,2021-12-30,45,23,75
178,2020-12-26,56,48,55
179,2020-11-09,35,64,73
180,2022-11-08,97,2,59
181,2022-06-08,36,47,92
182,2021-08-26,9,61,65
183,2020-08-21,43,61,12
