id,year,name
73,2023,język polski
74,2024,język polski
75,2023,język obcy nowożytny
76,2024,język obcy nowożytny
77,2023,drugi język obcy nowożytny
78,2024,drugi język obcy nowożytny
79,2023,muzyka
80,2024,muzyka
81,2023,plastyka
82,2024,plastyka
83,2023,historia
84,2024,historia
85,2023,wiedza o społeczeństwie
86,2024,wiedza o społeczeństwie
87,2023,przyroda
88,2024,przyroda
89,2023,geografia
90,2024,geografia
91,2023,biologia
92,2024,biologia
93,2023,chemia
94,2024,chemia
95,2023,fizyka
96,2024,fizyka
97,2023,matematyka
98,2024,matematyka
99,2023,informatyka
100,2024,informatyka
101,2023,technika
102,2024,technika
103,2023,wychowanie fizyczne
104,2024,wychowanie fizyczne
105,2023,edukacja dla bezpieczeństwa
106,2024,edukacja dla bezpieczeństwa
107,2023,wychowanie do życia w rodzinie
108,2024,wychowanie do życia w rodzinie
109,2023,etyka
110,2024,etyka
111,2023,historia i teraźniejszość
112,2024,historia i teraźniejszość
113,2023,podstawy przedsiębiorczości
114,2024,podstawy przedsiębiorczości
115,2023,edukacja dla bezpieczeństwa
116,2024,edukacja dla bezpieczeństwa
117,2023,wychowanie do życia w rodzinie
118,2024,wychowanie do życia w rodzinie
119,2023,język łaciński i kultura antyczna
120,2024,język łaciński i kultura antyczna
